Outlier Threshold,Factor,Factor Outlier Count,Total Outlier,Factor Outlier Count (% of Outliers),Total count of Factor,Factor Outlier Count (% of Total count of Factor)
1,EU_ECB_Deposit_Facility_Rate,78,1147,6.8,95,82.11
1,EU_ECB_Main_Refinancing_Rate,92,1147,8.02,116,79.31
1,EU_CB,92,1147,8.02,116,79.31
1,US_holiday,34,1147,2.96,55,61.82
1,EU_holiday,24,1147,2.09,40,60
1,US_Unemployment_Rate,87,1147,7.59,150,58
1,US_Change_in_Nonfarm_Payrolls,87,1147,7.59,150,58
1,EU_Deposit_Rates,50,1147,4.36,88,56.82
1,EU_Bank_of_England_Bank_Rate,65,1147,5.67,124,52.42
1,US_Factory_Orders,64,1147,5.58,126,50.79
1,EU_Foreign_Currency_Reserves,64,1147,5.58,130,49.23
1,US_Initial_Jobless_Claims,287,1147,25.02,650,44.15
1,EU_HCOB_France_Services_PMI,67,1147,5.84,154,43.51
1,US_Trade_Balance,65,1147,5.67,150,43.33
1,EU_Unemployment_Change,55,1147,4.8,127,43.31
1,EU_Industrial_Production_YoY,49,1147,4.27,115,42.61
1,EU_HCOB_France_Composite_PMI,42,1147,3.66,103,40.78
1,EU_CPI_EU_Harmonized_YoY,58,1147,5.06,145,40
1,EU_Unemployment_Rate,59,1147,5.14,148,39.86
1,EU_Riksbank_Policy_Rate,28,1147,2.44,72,38.89
1,US_Leading_Index,56,1147,4.88,144,38.89
1,EU_DNBNIMA_PMI_Manufacturing,37,1147,3.23,96,38.54
1,US_ISM_Manufacturing,37,1147,3.23,96,38.54
1,EU_Mortgage_Approvals,42,1147,3.66,109,38.53
1,EU_Industrial_Prod_WDA_YoY,50,1147,4.36,130,38.46
1,US_ADP_Employment_Change,57,1147,4.97,149,38.26
1,US_SP_Global_US_Manufacturing_PMI,76,1147,6.63,201,37.81
1,EU_PMI_Manufacturing,35,1147,3.05,93,37.63
1,EU_HCOB_Germany_Manufacturing_PMI,33,1147,2.88,89,37.08
1,EU_HCOB_France_Manufacturing_PMI,42,1147,3.66,115,36.52
1,EU_SP_GlobalNevi_Netherlands_Manufacturing_PMI,8,1147,0.7,22,36.36
1,EU_GDP_NSA_YoY,30,1147,2.62,84,35.71
1,EU_SwedbankSilf_PMI_Manufacturing,31,1147,2.7,88,35.23
1,EU_Nationwide_House_Px_NSA_YoY,52,1147,4.53,148,35.14
1,EU_GDP_QoQ,15,1147,1.31,43,34.88
1,EU_HCOB_Spain_Manufacturing_PMI,8,1147,0.7,23,34.78
1,EU_HCOB_Italy_Manufacturing_PMI,8,1147,0.7,23,34.78
1,EU_GDP_SA_QoQ,49,1147,4.27,142,34.51
1,EU_HCOB_Eurozone_Manufacturing_PMI,30,1147,2.62,87,34.48
1,US_Durable_Goods_Orders,72,1147,6.28,210,34.29
1,EU_CPI_Level,49,1147,4.27,144,34.03
1,EU_GDP_SA_YoY,49,1147,4.27,144,34.03
1,EU_Unemployment_Rate_SA,46,1147,4.01,136,33.82
1,EU_GDP_YoY,30,1147,2.62,89,33.71
1,EU_SP_Global_Greece_Manufacturing_PMI,8,1147,0.7,24,33.33
1,EU_CPI_YoY,43,1147,3.75,130,33.08
1,US_Personal_Spending,39,1147,3.4,119,32.77
1,US_CPI_YoY,49,1147,4.27,150,32.67
1,EU_CPI_EU_Harmonised_YoY,89,1147,7.76,273,32.6
1,US_Empire_Manufacturing,31,1147,2.7,97,31.96
1,US_Personal_Income,38,1147,3.31,119,31.93
1,EU_Business_Confidence,40,1147,3.49,126,31.75
1,EU_SNB_Policy_Rate,5,1147,0.44,16,31.25
1,US_U_of_Mich_Sentiment,93,1147,8.11,298,31.21
1,EU_Consumer_Confidence_Indicator,39,1147,3.4,125,31.2
1,EU_SP_GlobalCIPS_UK_Manufacturing_PMI,9,1147,0.78,29,31.03
