Outlier Threshold,Factor,Factor Outlier Count,Total Outlier,Factor Outlier Count (% of Outliers),Total count of Factor,Factor Outlier Count (% of Total count of Factor)
1,US_holiday,36,901,4,55,65.45
1,GB_holiday,25,901,2.77,42,59.52
1,GB_CB,67,901,7.44,124,54.03
1,GB_Bank_of_England_Bank_Rate,67,901,7.44,124,54.03
1,US_Unemployment_Rate,71,901,7.88,150,47.33
1,US_Change_in_Nonfarm_Payrolls,71,901,7.88,150,47.33
1,US_FOMC_Rate_Decision_Upper_Bound,35,901,3.88,100,35
1,US_CB,35,901,3.88,100,35
1,US_CPI_YoY,50,901,5.55,150,33.33
1,US_Trade_Balance,47,901,5.22,150,31.33
1,US_Factory_Orders,38,901,4.22,126,30.16
1,GB_Claimant_Count_Rate,45,901,4.99,150,30
1,GB_Jobless_Claims_Change,45,901,4.99,150,30
1,GB_ILO_Unemployment_Rate_3Mths,45,901,4.99,150,30
1,US_Empire_Manufacturing,28,901,3.11,97,28.87
1,US_Initial_Jobless_Claims,182,901,20.2,650,28
1,US_U_of_Mich_Sentiment,83,901,9.21,298,27.85
1,US_SP_Global_US_Manufacturing_PMI,55,901,6.1,201,27.36
1,US_Housing_Starts,40,901,4.44,148,27.03
1,US_ADP_Employment_Change,39,901,4.33,149,26.17
1,GB_Retail_Sales_Inc_Auto_Fuel_YoY,36,901,4,149,24.16
1,US_ISM_Manufacturing,23,901,2.55,96,23.96
1,US_Leading_Index,34,901,3.77,144,23.61
1,US_Durable_Goods_Orders,49,901,5.44,210,23.33
1,US_MBA_Mortgage_Applications,148,901,16.43,650,22.77
1,US_New_Home_Sales,29,901,3.22,132,21.97
1,GB_Nationwide_House_Px_NSA_YoY,32,901,3.55,148,21.62
1,US_Personal_Spending,25,901,2.77,119,21.01
1,US_Personal_Income,25,901,2.77,119,21.01
1,GB_CPI_YoY,30,901,3.33,150,20
1,GB_CPI_Core_YoY,30,901,3.33,150,20
1,GB_GDP_QoQ,18,901,2,93,19.35
1,GB_Mortgage_Approvals,21,901,2.33,109,19.27
1,US_Existing_Home_Sales,24,901,2.66,126,19.05
1,US_Conf_Board_Consumer_Confidence,27,901,3,149,18.12
1,GB_GDP_YoY,15,901,1.66,89,16.85
1,US_MNI_Chicago_PMI,20,901,2.22,130,15.38
1,US_GDP_Annualized_QoQ,22,901,2.44,147,14.97
1,GB_SP_GlobalCIPS_UK_Manufacturing_PMI,3,901,0.33,29,10.34
2,GB_CB,38,253,15.02,124,30.65
2,GB_Bank_of_England_Bank_Rate,38,253,15.02,124,30.65
2,US_holiday,12,253,4.74,55,21.82
2,GB_holiday,9,253,3.56,42,21.43
2,US_Change_in_Nonfarm_Payrolls,30,253,11.86,150,20
2,US_Unemployment_Rate,30,253,11.86,150,20
2,US_CPI_YoY,26,253,10.28,150,17.33
2,GB_Claimant_Count_Rate,20,253,7.91,150,13.33
2,GB_Jobless_Claims_Change,20,253,7.91,150,13.33
2,GB_ILO_Unemployment_Rate_3Mths,20,253,7.91,150,13.33
2,US_FOMC_Rate_Decision_Upper_Bound,11,253,4.35,100,11
2,US_CB,11,253,4.35,100,11
2,US_Factory_Orders,13,253,5.14,126,10.32
2,US_Initial_Jobless_Claims,58,253,22.92,650,8.92
2,US_Housing_Starts,13,253,5.14,148,8.78
2,US_Durable_Goods_Orders,18,253,7.11,210,8.57
2,US_Trade_Balance,12,253,4.74,150,8
2,US_SP_Global_US_Manufacturing_PMI,15,253,5.93,201,7.46
2,GB_CPI_Core_YoY,11,253,4.35,150,7.33
2,GB_CPI_YoY,11,253,4.35,150,7.33
2,US_Empire_Manufacturing,7,253,2.77,97,7.22
2,US_MBA_Mortgage_Applications,44,253,17.39,650,6.77
2,US_New_Home_Sales,7,253,2.77,132,5.3
2,US_U_of_Mich_Sentiment,15,253,5.93,298,5.03
2,US_ISM_Manufacturing,4,253,1.58,96,4.17
2,US_ADP_Employment_Change,6,253,2.37,149,4.03
2,US_Leading_Index,5,253,1.98,144,3.47
2,US_GDP_Annualized_QoQ,5,253,1.98,147,3.4
2,GB_Nationwide_House_Px_NSA_YoY,5,253,1.98,148,3.38
2,GB_GDP_YoY,3,253,1.19,89,3.37
2,US_Personal_Spending,4,253,1.58,119,3.36
2,US_Personal_Income,4,253,1.58,119,3.36
2,US_Conf_Board_Consumer_Confidence,5,253,1.98,149,3.36
2,GB_GDP_QoQ,3,253,1.19,93,3.23
2,US_Existing_Home_Sales,4,253,1.58,126,3.17
2,GB_Retail_Sales_Inc_Auto_Fuel_YoY,4,253,1.58,149,2.68
2,GB_Mortgage_Approvals,2,253,0.79,109,1.83
2,US_MNI_Chicago_PMI,2,253,0.79,130,1.54
2,GB_SP_GlobalCIPS_UK_Manufacturing_PMI,0,253,0,29,0
3,GB_Bank_of_England_Bank_Rate,25,118,21.19,124,20.16
3,GB_CB,25,118,21.19,124,20.16
3,US_CPI_YoY,16,118,13.56,150,10.67
3,US_holiday,5,118,4.24,55,9.09
3,GB_Claimant_Count_Rate,11,118,9.32,150,7.33
3,GB_Jobless_Claims_Change,11,118,9.32,150,7.33
3,GB_ILO_Unemployment_Rate_3Mths,11,118,9.32,150,7.33
3,GB_holiday,3,118,2.54,42,7.14
3,US_Initial_Jobless_Claims,35,118,29.66,650,5.38
3,US_Unemployment_Rate,8,118,6.78,150,5.33
3,US_Change_in_Nonfarm_Payrolls,8,118,6.78,150,5.33
3,US_CB,5,118,4.24,100,5
3,US_FOMC_Rate_Decision_Upper_Bound,5,118,4.24,100,5
3,US_Factory_Orders,6,118,5.08,126,4.76
3,US_Durable_Goods_Orders,10,118,8.47,210,4.76
3,US_Empire_Manufacturing,4,118,3.39,97,4.12
3,US_Housing_Starts,6,118,5.08,148,4.05
3,US_Trade_Balance,6,118,5.08,150,4
3,US_MBA_Mortgage_Applications,25,118,21.19,650,3.85
3,US_New_Home_Sales,4,118,3.39,132,3.03
3,US_SP_Global_US_Manufacturing_PMI,6,118,5.08,201,2.99
3,US_Leading_Index,4,118,3.39,144,2.78
3,GB_CPI_Core_YoY,4,118,3.39,150,2.67
3,GB_CPI_YoY,4,118,3.39,150,2.67
3,US_Existing_Home_Sales,3,118,2.54,126,2.38
3,US_Personal_Spending,2,118,1.69,119,1.68
3,US_Personal_Income,2,118,1.69,119,1.68
3,US_GDP_Annualized_QoQ,2,118,1.69,147,1.36
3,GB_Retail_Sales_Inc_Auto_Fuel_YoY,2,118,1.69,149,1.34
3,US_ADP_Employment_Change,2,118,1.69,149,1.34
3,GB_GDP_YoY,1,118,0.85,89,1.12
3,GB_GDP_QoQ,1,118,0.85,93,1.08
3,US_ISM_Manufacturing,1,118,0.85,96,1.04
3,US_U_of_Mich_Sentiment,3,118,2.54,298,1.01
3,US_MNI_Chicago_PMI,1,118,0.85,130,0.77
3,US_Conf_Board_Consumer_Confidence,1,118,0.85,149,0.67
3,GB_Nationwide_House_Px_NSA_YoY,0,118,0,148,0
3,GB_SP_GlobalCIPS_UK_Manufacturing_PMI,0,118,0,29,0
3,GB_Mortgage_Approvals,0,118,0,109,0
4,GB_Bank_of_England_Bank_Rate,13,63,20.63,124,10.48
4,GB_CB,13,63,20.63,124,10.48
4,US_CPI_YoY,10,63,15.87,150,6.67
4,GB_holiday,2,63,3.17,42,4.76
4,GB_Jobless_Claims_Change,7,63,11.11,150,4.67
4,GB_Claimant_Count_Rate,7,63,11.11,150,4.67
4,GB_ILO_Unemployment_Rate_3Mths,7,63,11.11,150,4.67
4,US_Factory_Orders,5,63,7.94,126,3.97
4,US_holiday,2,63,3.17,55,3.64
4,US_Durable_Goods_Orders,7,63,11.11,210,3.33
4,US_Empire_Manufacturing,3,63,4.76,97,3.09
4,US_Initial_Jobless_Claims,19,63,30.16,650,2.92
4,US_Leading_Index,4,63,6.35,144,2.78
4,US_Change_in_Nonfarm_Payrolls,4,63,6.35,150,2.67
4,US_Unemployment_Rate,4,63,6.35,150,2.67
4,US_New_Home_Sales,3,63,4.76,132,2.27
4,US_Housing_Starts,3,63,4.76,148,2.03
4,US_CB,2,63,3.17,100,2
4,US_FOMC_Rate_Decision_Upper_Bound,2,63,3.17,100,2
4,US_MBA_Mortgage_Applications,11,63,17.46,650,1.69
4,US_SP_Global_US_Manufacturing_PMI,3,63,4.76,201,1.49
4,US_ADP_Employment_Change,2,63,3.17,149,1.34
4,US_Trade_Balance,2,63,3.17,150,1.33
4,GB_GDP_YoY,1,63,1.59,89,1.12
4,GB_GDP_QoQ,1,63,1.59,93,1.08
4,US_Existing_Home_Sales,1,63,1.59,126,0.79
4,US_MNI_Chicago_PMI,1,63,1.59,130,0.77
4,US_U_of_Mich_Sentiment,2,63,3.17,298,0.67
4,GB_CPI_Core_YoY,1,63,1.59,150,0.67
4,US_Conf_Board_Consumer_Confidence,1,63,1.59,149,0.67
4,GB_CPI_YoY,1,63,1.59,150,0.67
4,GB_Retail_Sales_Inc_Auto_Fuel_YoY,1,63,1.59,149,0.67
4,GB_Nationwide_House_Px_NSA_YoY,0,63,0,148,0
4,US_ISM_Manufacturing,0,63,0,96,0
4,GB_SP_GlobalCIPS_UK_Manufacturing_PMI,0,63,0,29,0
4,US_GDP_Annualized_QoQ,0,63,0,147,0
4,GB_Mortgage_Approvals,0,63,0,109,0
4,US_Personal_Spending,0,63,0,119,0
4,US_Personal_Income,0,63,0,119,0
