Outlier Threshold,Factor,Factor Outlier Count,Total Outlier,Factor Outlier Count (% of Outliers),Total count of Factor,Factor Outlier Count (% of Total count of Factor)
1,NZ_CB,69,1266,5.45,81,85.19
1,NZ_RBNZ_Official_Cash_Rate,69,1266,5.45,81,85.19
1,US_holiday,35,1266,2.76,51,68.63
1,NZ_holiday,37,1266,2.92,56,66.07
1,NZ_CPI_QoQ,24,1266,1.9,38,63.16
1,US_Factory_Orders,61,1266,4.82,113,53.98
1,NZ_Unemployment_Rate,23,1266,1.82,45,51.11
1,NZ_REINZ_House_Sales_YoY,40,1266,3.16,79,50.63
1,US_U_of_Mich_Sentiment,130,1266,10.27,266,48.87
1,US_Initial_Jobless_Claims,282,1266,22.27,581,48.54
1,US_Change_in_Nonfarm_Payrolls,65,1266,5.13,134,48.51
1,US_Unemployment_Rate,65,1266,5.13,134,48.51
1,NZ_BusinessNZ_Manufacturing_PMI,62,1266,4.9,134,46.27
1,US_MNI_Chicago_PMI,52,1266,4.11,118,44.07
1,US_Empire_Manufacturing,37,1266,2.92,85,43.53
1,US_Durable_Goods_Orders,85,1266,6.71,196,43.37
1,US_Leading_Index,55,1266,4.34,128,42.97
1,US_New_Home_Sales,51,1266,4.03,119,42.86
1,US_Personal_Spending,47,1266,3.71,110,42.73
1,US_CB,38,1266,3,89,42.7
1,US_FOMC_Rate_Decision_Upper_Bound,38,1266,3,89,42.7
1,US_Personal_Income,46,1266,3.63,110,41.82
1,US_CPI_YoY,56,1266,4.42,134,41.79
1,US_Trade_Balance,55,1266,4.34,134,41.04
1,US_GDP_Annualized_QoQ,53,1266,4.19,131,40.46
1,US_SP_Global_US_Manufacturing_PMI,72,1266,5.69,189,38.1
1,US_ADP_Employment_Change,48,1266,3.79,134,35.82
1,NZ_GDP_SA_QoQ,16,1266,1.26,45,35.56
1,US_MBA_Mortgage_Applications,202,1266,15.96,582,34.71
1,NZ_Trade_Balance_NZD,42,1266,3.32,122,34.43
1,US_ISM_Manufacturing,29,1266,2.29,85,34.12
1,US_Conf_Board_Consumer_Confidence,45,1266,3.55,133,33.83
1,US_Existing_Home_Sales,34,1266,2.69,112,30.36
1,US_Housing_Starts,36,1266,2.84,132,27.27
2,NZ_RBNZ_Official_Cash_Rate,60,458,13.1,81,74.07
2,NZ_CB,60,458,13.1,81,74.07
2,US_holiday,22,458,4.8,51,43.14
2,NZ_CPI_QoQ,13,458,2.84,38,34.21
2,NZ_holiday,19,458,4.15,56,33.93
2,NZ_REINZ_House_Sales_YoY,22,458,4.8,79,27.85
2,US_Change_in_Nonfarm_Payrolls,32,458,6.99,134,23.88
2,US_Unemployment_Rate,32,458,6.99,134,23.88
2,US_CPI_YoY,30,458,6.55,134,22.39
2,NZ_Unemployment_Rate,10,458,2.18,45,22.22
2,US_U_of_Mich_Sentiment,59,458,12.88,266,22.18
2,US_Trade_Balance,28,458,6.11,134,20.9
2,US_Personal_Spending,20,458,4.37,110,18.18
2,US_Personal_Income,20,458,4.37,110,18.18
2,US_Factory_Orders,20,458,4.37,113,17.7
2,NZ_BusinessNZ_Manufacturing_PMI,23,458,5.02,134,17.16
2,US_GDP_Annualized_QoQ,22,458,4.8,131,16.79
2,US_New_Home_Sales,19,458,4.15,119,15.97
2,US_Durable_Goods_Orders,31,458,6.77,196,15.82
2,US_Initial_Jobless_Claims,90,458,19.65,581,15.49
2,US_Empire_Manufacturing,13,458,2.84,85,15.29
2,US_MBA_Mortgage_Applications,88,458,19.21,582,15.12
2,US_ADP_Employment_Change,17,458,3.71,134,12.69
2,US_FOMC_Rate_Decision_Upper_Bound,11,458,2.4,89,12.36
2,US_CB,11,458,2.4,89,12.36
2,NZ_Trade_Balance_NZD,15,458,3.28,122,12.3
2,US_SP_Global_US_Manufacturing_PMI,22,458,4.8,189,11.64
2,NZ_GDP_SA_QoQ,5,458,1.09,45,11.11
2,US_MNI_Chicago_PMI,13,458,2.84,118,11.02
2,US_Leading_Index,14,458,3.06,128,10.94
2,US_ISM_Manufacturing,9,458,1.97,85,10.59
2,US_Housing_Starts,13,458,2.84,132,9.85
2,US_Existing_Home_Sales,8,458,1.75,112,7.14
2,US_Conf_Board_Consumer_Confidence,9,458,1.97,133,6.77
