Outlier Threshold,Factor,Factor Outlier Count,Total Outlier,Factor Outlier Count (% of Outliers),Total count of Factor,Factor Outlier Count (% of Total count of Factor)
1,US_Change_in_Nonfarm_Payrolls,89,853,10.43,150,59.33
1,US_Unemployment_Rate,89,853,10.43,150,59.33
1,CA_Net_Change_in_Employment,88,853,10.32,150,58.67
1,CA_Unemployment_Rate,88,853,10.32,150,58.67
1,US_holiday,32,853,3.75,55,58.18
1,CA_holiday,27,853,3.17,53,50.94
1,US_U_of_Mich_Sentiment,127,853,14.89,298,42.62
1,US_CPI_YoY,54,853,6.33,150,36
1,US_Personal_Income,35,853,4.1,119,29.41
1,US_Factory_Orders,37,853,4.34,126,29.37
1,CA_CPI_YoY,43,853,5.04,149,28.86
1,US_Personal_Spending,34,853,3.99,119,28.57
1,US_SP_Global_US_Manufacturing_PMI,56,853,6.57,201,27.86
1,US_Trade_Balance,41,853,4.81,150,27.33
1,US_MNI_Chicago_PMI,33,853,3.87,130,25.38
1,US_ISM_Manufacturing,23,853,2.7,96,23.96
1,CA_Quarterly_GDP_Annualized,11,853,1.29,47,23.4
1,US_CB,23,853,2.7,100,23
1,US_FOMC_Rate_Decision_Upper_Bound,23,853,2.7,100,23
1,US_Empire_Manufacturing,22,853,2.58,97,22.68
1,US_Leading_Index,32,853,3.75,144,22.22
1,CA_CB,22,853,2.58,102,21.57
1,CA_Bank_of_Canada_Rate_Decision,22,853,2.58,102,21.57
1,US_ADP_Employment_Change,31,853,3.63,149,20.81
1,US_New_Home_Sales,27,853,3.17,132,20.45
1,US_GDP_Annualized_QoQ,30,853,3.52,147,20.41
1,US_Existing_Home_Sales,25,853,2.93,126,19.84
1,CA_SP_Global_Canada_Manufacturing_PMI,5,853,0.59,27,18.52
1,US_Housing_Starts,27,853,3.17,148,18.24
1,US_Conf_Board_Consumer_Confidence,27,853,3.17,149,18.12
1,US_Durable_Goods_Orders,38,853,4.45,210,18.1
1,US_Initial_Jobless_Claims,110,853,12.9,650,16.92
1,US_MBA_Mortgage_Applications,103,853,12.08,650,15.85
2,CA_Net_Change_in_Employment,47,195,24.1,150,31.33
2,CA_Unemployment_Rate,47,195,24.1,150,31.33
2,US_Unemployment_Rate,46,195,23.59,150,30.67
2,US_Change_in_Nonfarm_Payrolls,46,195,23.59,150,30.67
2,US_holiday,12,195,6.15,55,21.82
2,CA_holiday,10,195,5.13,53,18.87
2,US_Trade_Balance,18,195,9.23,150,12
2,US_CPI_YoY,15,195,7.69,150,10
2,US_U_of_Mich_Sentiment,27,195,13.85,298,9.06
2,CA_Quarterly_GDP_Annualized,4,195,2.05,47,8.51
2,US_Personal_Income,10,195,5.13,119,8.4
2,US_Personal_Spending,10,195,5.13,119,8.4
2,CA_CPI_YoY,12,195,6.15,149,8.05
2,US_Housing_Starts,9,195,4.62,148,6.08
2,US_Factory_Orders,7,195,3.59,126,5.56
2,US_MNI_Chicago_PMI,7,195,3.59,130,5.38
2,US_Durable_Goods_Orders,9,195,4.62,210,4.29
2,CA_Bank_of_Canada_Rate_Decision,4,195,2.05,102,3.92
2,CA_CB,4,195,2.05,102,3.92
2,CA_SP_Global_Canada_Manufacturing_PMI,1,195,0.51,27,3.7
2,US_CB,3,195,1.54,100,3
2,US_FOMC_Rate_Decision_Upper_Bound,3,195,1.54,100,3
2,US_MBA_Mortgage_Applications,18,195,9.23,650,2.77
2,US_ADP_Employment_Change,4,195,2.05,149,2.68
2,US_Conf_Board_Consumer_Confidence,4,195,2.05,149,2.68
2,US_Initial_Jobless_Claims,15,195,7.69,650,2.31
2,US_New_Home_Sales,3,195,1.54,132,2.27
2,US_Leading_Index,3,195,1.54,144,2.08
2,US_Empire_Manufacturing,2,195,1.03,97,2.06
2,US_GDP_Annualized_QoQ,3,195,1.54,147,2.04
2,US_Existing_Home_Sales,2,195,1.03,126,1.59
