Outlier Threshold,Factor,Factor Outlier Count,Total Outlier,Factor Outlier Count (% of Outliers),Total count of Factor,Factor Outlier Count (% of Total count of Factor)
1,US_Unemployment_Rate,95,1049,9.06,150,63.33
1,US_Change_in_Nonfarm_Payrolls,95,1049,9.06,150,63.33
1,US_holiday,32,1049,3.05,55,58.18
1,CH_Foreign_Currency_Reserves,66,1049,6.29,130,50.77
1,CH_holiday,32,1049,3.05,65,49.23
1,US_Factory_Orders,57,1049,5.43,126,45.24
1,CH_SNB_Policy_Rate,7,1049,0.67,16,43.75
1,CH_CPI_YoY,51,1049,4.86,122,41.8
1,US_Initial_Jobless_Claims,248,1049,23.64,650,38.15
1,US_Trade_Balance,57,1049,5.43,150,38
1,US_ISM_Manufacturing,32,1049,3.05,96,33.33
1,CH_PMI_Manufacturing,30,1049,2.86,93,32.26
1,US_ADP_Employment_Change,48,1049,4.58,149,32.21
1,US_CPI_YoY,48,1049,4.58,150,32
1,US_Personal_Spending,37,1049,3.53,119,31.09
1,US_Personal_Income,37,1049,3.53,119,31.09
1,US_FOMC_Rate_Decision_Upper_Bound,30,1049,2.86,100,30
1,US_CB,30,1049,2.86,100,30
1,US_Leading_Index,43,1049,4.1,144,29.86
1,US_SP_Global_US_Manufacturing_PMI,59,1049,5.62,201,29.35
1,US_Empire_Manufacturing,28,1049,2.67,97,28.87
1,US_Durable_Goods_Orders,57,1049,5.43,210,27.14
1,US_GDP_Annualized_QoQ,39,1049,3.72,147,26.53
1,US_U_of_Mich_Sentiment,79,1049,7.53,298,26.51
1,US_MNI_Chicago_PMI,34,1049,3.24,130,26.15
1,US_Housing_Starts,38,1049,3.62,148,25.68
1,US_MBA_Mortgage_Applications,151,1049,14.39,650,23.23
1,US_New_Home_Sales,29,1049,2.76,132,21.97
1,US_Conf_Board_Consumer_Confidence,29,1049,2.76,149,19.46
1,US_Existing_Home_Sales,23,1049,2.19,126,18.25
1,CH_CB,0,1049,0,0,
2,US_Change_in_Nonfarm_Payrolls,60,363,16.53,150,40
2,US_Unemployment_Rate,60,363,16.53,150,40
2,CH_Foreign_Currency_Reserves,36,363,9.92,130,27.69
2,CH_SNB_Policy_Rate,4,363,1.1,16,25
2,CH_CPI_YoY,26,363,7.16,122,21.31
2,US_holiday,11,363,3.03,55,20
2,US_Factory_Orders,22,363,6.06,126,17.46
2,US_Trade_Balance,26,363,7.16,150,17.33
2,CH_holiday,10,363,2.75,65,15.38
2,CH_PMI_Manufacturing,14,363,3.86,93,15.05
2,US_CPI_YoY,22,363,6.06,150,14.67
2,US_ISM_Manufacturing,12,363,3.31,96,12.5
2,US_Initial_Jobless_Claims,77,363,21.21,650,11.85
2,US_Empire_Manufacturing,11,363,3.03,97,11.34
2,US_MNI_Chicago_PMI,14,363,3.86,130,10.77
