Outlier Threshold,Factor,Factor Outlier Count,Total Outlier,Factor Outlier Count (% of Outliers),Total count of Factor,Factor Outlier Count (% of Total count of Factor)
1,CN_HK_GDP_YoY,9,304,2.96,58,15.52
1,CN_Caixin_China_PMI_Mfg,14,304,4.61,95,14.74
1,US_Personal_Spending,17,304,5.59,119,14.29
1,US_Personal_Income,17,304,5.59,119,14.29
1,US_Durable_Goods_Orders,26,304,8.55,208,12.5
1,US_Leading_Index,17,304,5.59,142,11.97
1,US_U_of_Mich_Sentiment,33,304,10.86,293,11.26
1,US_New_Home_Sales,13,304,4.28,130,10
1,US_SP_Global_US_Manufacturing_PMI,19,304,6.25,199,9.55
1,US_Change_in_Nonfarm_Payrolls,14,304,4.61,147,9.52
1,US_Unemployment_Rate,14,304,4.61,147,9.52
1,CN_HK_CPI_Composite_YoY,10,304,3.29,106,9.43
1,US_MNI_Chicago_PMI,12,304,3.95,129,9.3
1,CN_Industrial_Production_YoY,8,304,2.63,87,9.2
1,CN_Money_Supply_M2_YoY,11,304,3.62,120,9.17
1,CN_HK_Retail_Sales_Value_YoY,11,304,3.62,122,9.02
1,US_Initial_Jobless_Claims,57,304,18.75,640,8.91
1,CN_CPI_YoY,10,304,3.29,113,8.85
1,US_Factory_Orders,11,304,3.62,125,8.8
1,CN_Retail_Sales_YoY,7,304,2.3,81,8.64
1,US_ISM_Manufacturing,8,304,2.63,94,8.51
1,US_CPI_YoY,12,304,3.95,147,8.16
1,CN_PPI_YoY,10,304,3.29,123,8.13
1,US_Conf_Board_Consumer_Confidence,10,304,3.29,147,6.8
1,US_ADP_Employment_Change,10,304,3.29,148,6.76
1,US_Trade_Balance,10,304,3.29,148,6.76
1,CN_Manufacturing_PMI,7,304,2.3,104,6.73
1,US_GDP_Annualized_QoQ,9,304,2.96,145,6.21
1,US_FOMC_Rate_Decision_Upper_Bound,6,304,1.97,99,6.06
1,US_CB,6,304,1.97,99,6.06
1,CN_holiday,12,304,3.95,205,5.85
1,CN_Trade_Balance,6,304,1.97,108,5.56
1,US_MBA_Mortgage_Applications,35,304,11.51,638,5.49
1,US_holiday,3,304,0.99,55,5.45
1,CN_Exports_YoY,6,304,1.97,111,5.41
1,US_Empire_Manufacturing,4,304,1.32,95,4.21
1,US_Housing_Starts,6,304,1.97,143,4.2
1,CN_HK_Exports_YoY,4,304,1.32,109,3.67
1,US_Existing_Home_Sales,4,304,1.32,123,3.25
1,CN_GDP_YoY,1,304,0.33,33,3.03
1,CN_CB,0,304,0,0,
2,US_Durable_Goods_Orders,9,71,12.68,208,4.33
2,US_Factory_Orders,5,71,7.04,125,4
2,CN_Retail_Sales_YoY,3,71,4.23,81,3.7
2,CN_Industrial_Production_YoY,3,71,4.23,87,3.45
2,US_CPI_YoY,5,71,7.04,147,3.4
2,CN_Manufacturing_PMI,3,71,4.23,104,2.88
2,CN_HK_CPI_Composite_YoY,3,71,4.23,106,2.83
2,US_ADP_Employment_Change,4,71,5.63,148,2.7
2,CN_Caixin_China_PMI_Mfg,2,71,2.82,95,2.11
2,US_Empire_Manufacturing,2,71,2.82,95,2.11
2,US_GDP_Annualized_QoQ,3,71,4.23,145,2.07
2,US_U_of_Mich_Sentiment,6,71,8.45,293,2.05
2,US_Change_in_Nonfarm_Payrolls,3,71,4.23,147,2.04
2,US_Unemployment_Rate,3,71,4.23,147,2.04
2,US_Trade_Balance,3,71,4.23,148,2.03
2,US_FOMC_Rate_Decision_Upper_Bound,2,71,2.82,99,2.02
2,US_CB,2,71,2.82,99,2.02
2,US_Initial_Jobless_Claims,12,71,16.9,640,1.88
2,US_Personal_Income,2,71,2.82,119,1.68
2,US_Personal_Spending,2,71,2.82,119,1.68
2,CN_Money_Supply_M2_YoY,2,71,2.82,120,1.67
2,CN_PPI_YoY,2,71,2.82,123,1.63
2,US_New_Home_Sales,2,71,2.82,130,1.54
2,US_MBA_Mortgage_Applications,9,71,12.68,638,1.41
2,US_Leading_Index,2,71,2.82,142,1.41
2,CN_Trade_Balance,1,71,1.41,108,0.93
2,CN_Exports_YoY,1,71,1.41,111,0.9
2,CN_CPI_YoY,1,71,1.41,113,0.88
2,CN_HK_Retail_Sales_Value_YoY,1,71,1.41,122,0.82
2,US_Existing_Home_Sales,1,71,1.41,123,0.81
2,US_MNI_Chicago_PMI,1,71,1.41,129,0.78
