Outlier Threshold,Factor,Factor Outlier Count,Total Outlier,Factor Outlier Count (% of Outliers),Total count of Factor,Factor Outlier Count (% of Total count of Factor)
1,ID_GDP_YoY,10,915,1.09,26,38.46
1,ID_SP_Global_Indonesia_PMI_Mfg,9,915,0.98,24,37.5
1,US_GDP_Annualized_QoQ,43,915,4.7,144,29.86
1,US_Empire_Manufacturing,27,915,2.95,96,28.12
1,US_Unemployment_Rate,40,915,4.37,147,27.21
1,US_Change_in_Nonfarm_Payrolls,40,915,4.37,147,27.21
1,US_CPI_YoY,39,915,4.26,146,26.71
1,US_Durable_Goods_Orders,54,915,5.9,207,26.09
1,US_Factory_Orders,32,915,3.5,123,26.02
1,US_SP_Global_US_Manufacturing_PMI,50,915,5.46,195,25.64
1,US_U_of_Mich_Sentiment,74,915,8.09,291,25.43
1,US_Housing_Starts,36,915,3.93,144,25
1,US_Existing_Home_Sales,30,915,3.28,123,24.39
1,US_Leading_Index,34,915,3.72,141,24.11
1,US_holiday,13,915,1.42,54,24.07
1,US_Initial_Jobless_Claims,151,915,16.5,636,23.74
1,US_MNI_Chicago_PMI,30,915,3.28,127,23.62
1,US_Personal_Spending,27,915,2.95,116,23.28
1,US_Personal_Income,27,915,2.95,116,23.28
1,US_Conf_Board_Consumer_Confidence,33,915,3.61,146,22.6
1,US_ISM_Manufacturing,21,915,2.3,94,22.34
1,US_New_Home_Sales,29,915,3.17,130,22.31
1,US_FOMC_Rate_Decision_Upper_Bound,21,915,2.3,97,21.65
1,US_CB,21,915,2.3,97,21.65
1,US_MBA_Mortgage_Applications,135,915,14.75,636,21.23
1,US_ADP_Employment_Change,31,915,3.39,146,21.23
1,US_Trade_Balance,30,915,3.28,147,20.41
1,ID_CPI_YoY,14,915,1.53,73,19.18
1,ID_CB,17,915,1.86,92,18.48
1,ID_Bank_Indonesia_7D_Reverse_Repo,17,915,1.86,92,18.48
1,ID_holiday,22,915,2.4,123,17.89
2,US_holiday,8,273,2.93,54,14.81
2,ID_GDP_YoY,3,273,1.1,26,11.54
2,US_Unemployment_Rate,16,273,5.86,147,10.88
2,US_Change_in_Nonfarm_Payrolls,16,273,5.86,147,10.88
2,US_Trade_Balance,13,273,4.76,147,8.84
2,ID_SP_Global_Indonesia_PMI_Mfg,2,273,0.73,24,8.33
2,US_Factory_Orders,10,273,3.66,123,8.13
2,US_Personal_Income,9,273,3.3,116,7.76
2,US_Personal_Spending,9,273,3.3,116,7.76
2,US_New_Home_Sales,10,273,3.66,130,7.69
2,US_ISM_Manufacturing,7,273,2.56,94,7.45
2,US_U_of_Mich_Sentiment,21,273,7.69,291,7.22
2,US_MNI_Chicago_PMI,9,273,3.3,127,7.09
2,US_CPI_YoY,10,273,3.66,146,6.85
2,US_Durable_Goods_Orders,14,273,5.13,207,6.76
2,US_SP_Global_US_Manufacturing_PMI,13,273,4.76,195,6.67
2,US_Leading_Index,9,273,3.3,141,6.38
2,US_Initial_Jobless_Claims,40,273,14.65,636,6.29
2,US_Empire_Manufacturing,6,273,2.2,96,6.25
2,US_GDP_Annualized_QoQ,9,273,3.3,144,6.25
2,US_Housing_Starts,9,273,3.3,144,6.25
2,US_MBA_Mortgage_Applications,38,273,13.92,636,5.97
2,US_Conf_Board_Consumer_Confidence,8,273,2.93,146,5.48
2,US_FOMC_Rate_Decision_Upper_Bound,5,273,1.83,97,5.15
2,US_CB,5,273,1.83,97,5.15
2,US_ADP_Employment_Change,7,273,2.56,146,4.79
2,ID_CB,4,273,1.47,92,4.35
