Outlier Threshold,Factor,Factor Outlier Count,Total Outlier,Factor Outlier Count (% of Outliers),Total count of Factor,Factor Outlier Count (% of Total count of Factor)
1,IN_CB,15,489,3.07,82,18.29
1,IN_RBI_Repurchase_Rate,15,489,3.07,82,18.29
1,US_Empire_Manufacturing,17,489,3.48,96,17.71
1,US_Unemployment_Rate,26,489,5.32,150,17.33
1,US_Change_in_Nonfarm_Payrolls,26,489,5.32,150,17.33
1,US_U_of_Mich_Sentiment,50,489,10.22,297,16.84
1,US_holiday,9,489,1.84,55,16.36
1,US_CPI_YoY,24,489,4.91,148,16.22
1,US_Leading_Index,19,489,3.89,144,13.19
1,US_MNI_Chicago_PMI,17,489,3.48,130,13.08
1,US_FOMC_Rate_Decision_Upper_Bound,13,489,2.66,100,13
1,US_CB,13,489,2.66,100,13
1,US_Existing_Home_Sales,16,489,3.27,126,12.7
1,US_Personal_Spending,15,489,3.07,119,12.61
1,US_Personal_Income,15,489,3.07,119,12.61
1,US_ISM_Manufacturing,12,489,2.45,96,12.5
1,IN_CPI_YoY,10,489,2.04,84,11.9
1,IN_Industrial_Production_YoY,15,489,3.07,126,11.9
1,IN_holiday,22,489,4.5,194,11.34
1,US_Trade_Balance,17,489,3.48,150,11.33
1,US_SP_Global_US_Manufacturing_PMI,22,489,4.5,201,10.95
1,US_Initial_Jobless_Claims,68,489,13.91,649,10.48
1,US_Housing_Starts,15,489,3.07,146,10.27
1,US_MBA_Mortgage_Applications,63,489,12.88,648,9.72
1,US_Durable_Goods_Orders,20,489,4.09,210,9.52
1,US_GDP_Annualized_QoQ,13,489,2.66,147,8.84
1,US_Factory_Orders,11,489,2.25,126,8.73
1,US_New_Home_Sales,11,489,2.25,132,8.33
1,US_Conf_Board_Consumer_Confidence,11,489,2.25,149,7.38
1,US_ADP_Employment_Change,11,489,2.25,149,7.38
1,IN_SP_Global_India_PMI_Mfg,1,489,0.2,20,5
2,US_ISM_Manufacturing,6,88,6.82,96,6.25
2,IN_SP_Global_India_PMI_Mfg,1,88,1.14,20,5
2,US_Change_in_Nonfarm_Payrolls,7,88,7.95,150,4.67
2,US_Unemployment_Rate,7,88,7.95,150,4.67
2,US_Personal_Income,5,88,5.68,119,4.2
2,US_Personal_Spending,5,88,5.68,119,4.2
2,US_U_of_Mich_Sentiment,12,88,13.64,297,4.04
2,IN_RBI_Repurchase_Rate,3,88,3.41,82,3.66
2,IN_CB,3,88,3.41,82,3.66
2,US_Empire_Manufacturing,3,88,3.41,96,3.12
2,US_MNI_Chicago_PMI,4,88,4.55,130,3.08
2,US_SP_Global_US_Manufacturing_PMI,6,88,6.82,201,2.99
2,US_Leading_Index,4,88,4.55,144,2.78
2,US_Housing_Starts,4,88,4.55,146,2.74
2,US_Factory_Orders,3,88,3.41,126,2.38
2,US_Conf_Board_Consumer_Confidence,3,88,3.41,149,2.01
2,US_Initial_Jobless_Claims,13,88,14.77,649,2
2,US_Trade_Balance,3,88,3.41,150,2
2,US_Durable_Goods_Orders,4,88,4.55,210,1.9
2,US_holiday,1,88,1.14,55,1.82
2,US_Existing_Home_Sales,2,88,2.27,126,1.59
2,IN_Industrial_Production_YoY,2,88,2.27,126,1.59
2,US_New_Home_Sales,2,88,2.27,132,1.52
2,US_GDP_Annualized_QoQ,2,88,2.27,147,1.36
2,US_MBA_Mortgage_Applications,8,88,9.09,648,1.23
2,IN_CPI_YoY,1,88,1.14,84,1.19
2,US_FOMC_Rate_Decision_Upper_Bound,1,88,1.14,100,1
2,US_CB,1,88,1.14,100,1
2,US_CPI_YoY,1,88,1.14,148,0.68
2,US_ADP_Employment_Change,1,88,1.14,149,0.67
2,IN_holiday,1,88,1.14,194,0.52
3,US_Leading_Index,2,30,6.67,144,1.39
3,IN_RBI_Repurchase_Rate,1,30,3.33,82,1.22
3,IN_CB,1,30,3.33,82,1.22
3,US_Empire_Manufacturing,1,30,3.33,96,1.04
3,US_ISM_Manufacturing,1,30,3.33,96,1.04
3,US_U_of_Mich_Sentiment,3,30,10,297,1.01
3,US_SP_Global_US_Manufacturing_PMI,2,30,6.67,201,1
3,US_Personal_Income,1,30,3.33,119,0.84
3,US_Personal_Spending,1,30,3.33,119,0.84
3,US_Existing_Home_Sales,1,30,3.33,126,0.79
3,IN_Industrial_Production_YoY,1,30,3.33,126,0.79
3,US_Initial_Jobless_Claims,5,30,16.67,649,0.77
3,US_MNI_Chicago_PMI,1,30,3.33,130,0.77
3,US_New_Home_Sales,1,30,3.33,132,0.76
3,US_Housing_Starts,1,30,3.33,146,0.68
3,US_CPI_YoY,1,30,3.33,148,0.68
3,US_GDP_Annualized_QoQ,1,30,3.33,147,0.68
3,US_Trade_Balance,1,30,3.33,150,0.67
3,US_ADP_Employment_Change,1,30,3.33,149,0.67
