Outlier Threshold,Factor,Factor Outlier Count,Total Outlier,Factor Outlier Count (% of Outliers),Total count of Factor,Factor Outlier Count (% of Total count of Factor)
1,US_Unemployment_Rate,93,1366,6.81,150,62
1,US_Change_in_Nonfarm_Payrolls,93,1366,6.81,150,62
1,US_holiday,33,1366,2.42,55,60
1,US_U_of_Mich_Sentiment,173,1366,12.66,298,58.05
1,JP_CB,35,1366,2.56,61,57.38
1,JP_BOJ_Policy_Balance_Rate,35,1366,2.56,61,57.38
1,JP_Tokyo_CPI_ExFresh_Food_YoY,81,1366,5.93,149,54.36
1,US_Personal_Spending,64,1366,4.69,119,53.78
1,JP_Jobless_Rate,80,1366,5.86,149,53.69
1,JP_JobToApplicant_Ratio,80,1366,5.86,149,53.69
1,US_Personal_Income,63,1366,4.61,119,52.94
1,US_CPI_YoY,72,1366,5.27,150,48
1,JP_Capital_Spending_YoY,15,1366,1.1,32,46.88
1,US_SP_Global_US_Manufacturing_PMI,93,1366,6.81,201,46.27
1,US_MNI_Chicago_PMI,60,1366,4.39,130,46.15
1,US_CB,45,1366,3.29,100,45
1,US_FOMC_Rate_Decision_Upper_Bound,45,1366,3.29,100,45
1,JP_Jibun_Bank_Japan_PMI_Mfg,53,1366,3.88,118,44.92
1,JP_PPI_YoY,54,1366,3.95,121,44.63
1,JP_Tankan_Large_Mfg_Index,12,1366,0.88,27,44.44
1,JP_Tankan_Large_NonMfg_Index,12,1366,0.88,27,44.44
1,JP_Tankan_Large_Mfg_Outlook,12,1366,0.88,27,44.44
1,JP_Tankan_Large_All_Industry_Capex,12,1366,0.88,27,44.44
1,US_ISM_Manufacturing,41,1366,3,96,42.71
1,JP_Natl_CPI_YoY,61,1366,4.47,146,41.78
1,JP_holiday,48,1366,3.51,116,41.38
1,US_Trade_Balance,62,1366,4.54,150,41.33
1,US_Factory_Orders,52,1366,3.81,126,41.27
1,JP_GDP_Deflator_YoY,23,1366,1.68,56,41.07
1,JP_GDP_Annualized_SA_QoQ,23,1366,1.68,56,41.07
1,JP_GDP_SA_QoQ,23,1366,1.68,56,41.07
1,US_Leading_Index,59,1366,4.32,144,40.97
1,US_ADP_Employment_Change,60,1366,4.39,149,40.27
1,JP_BoP_Current_Account_Balance,40,1366,2.93,103,38.83
1,US_GDP_Annualized_QoQ,56,1366,4.1,147,38.1
1,US_Housing_Starts,53,1366,3.88,148,35.81
1,US_Existing_Home_Sales,43,1366,3.15,126,34.13
1,US_Empire_Manufacturing,32,1366,2.34,97,32.99
1,US_Initial_Jobless_Claims,211,1366,15.45,650,32.46
1,US_Durable_Goods_Orders,64,1366,4.69,210,30.48
1,US_MBA_Mortgage_Applications,198,1366,14.49,650,30.46
1,US_New_Home_Sales,39,1366,2.86,132,29.55
1,US_Conf_Board_Consumer_Confidence,43,1366,3.15,149,28.86
2,US_Change_in_Nonfarm_Payrolls,61,455,13.41,150,40.67
2,US_Unemployment_Rate,61,455,13.41,150,40.67
2,JP_BOJ_Policy_Balance_Rate,24,455,5.27,61,39.34
2,JP_CB,24,455,5.27,61,39.34
2,US_holiday,20,455,4.4,55,36.36
2,JP_Jobless_Rate,29,455,6.37,149,19.46
2,JP_JobToApplicant_Ratio,29,455,6.37,149,19.46
2,JP_Tokyo_CPI_ExFresh_Food_YoY,28,455,6.15,149,18.79
2,US_CB,18,455,3.96,100,18
2,US_FOMC_Rate_Decision_Upper_Bound,18,455,3.96,100,18
2,US_Personal_Spending,21,455,4.62,119,17.65
2,US_Personal_Income,21,455,4.62,119,17.65
2,JP_BoP_Current_Account_Balance,18,455,3.96,103,17.48
2,US_CPI_YoY,26,455,5.71,150,17.33
2,US_U_of_Mich_Sentiment,50,455,10.99,298,16.78
2,JP_holiday,18,455,3.96,116,15.52
2,US_SP_Global_US_Manufacturing_PMI,30,455,6.59,201,14.93
2,JP_Tankan_Large_Mfg_Index,4,455,0.88,27,14.81
2,JP_Tankan_Large_NonMfg_Index,4,455,0.88,27,14.81
2,JP_Tankan_Large_Mfg_Outlook,4,455,0.88,27,14.81
2,JP_Tankan_Large_All_Industry_Capex,4,455,0.88,27,14.81
2,US_Existing_Home_Sales,18,455,3.96,126,14.29
2,US_Factory_Orders,18,455,3.96,126,14.29
2,JP_Jibun_Bank_Japan_PMI_Mfg,16,455,3.52,118,13.56
2,US_Empire_Manufacturing,13,455,2.86,97,13.4
2,US_Trade_Balance,20,455,4.4,150,13.33
2,JP_PPI_YoY,16,455,3.52,121,13.22
2,US_GDP_Annualized_QoQ,19,455,4.18,147,12.93
2,JP_GDP_Annualized_SA_QoQ,7,455,1.54,56,12.5
2,JP_GDP_SA_QoQ,7,455,1.54,56,12.5
2,US_ISM_Manufacturing,12,455,2.64,96,12.5
2,JP_GDP_Deflator_YoY,7,455,1.54,56,12.5
2,US_Leading_Index,18,455,3.96,144,12.5
2,US_Housing_Starts,18,455,3.96,148,12.16
2,US_New_Home_Sales,16,455,3.52,132,12.12
2,US_MNI_Chicago_PMI,15,455,3.3,130,11.54
2,JP_Natl_CPI_YoY,16,455,3.52,146,10.96
2,US_Durable_Goods_Orders,22,455,4.84,210,10.48
2,US_Initial_Jobless_Claims,64,455,14.07,650,9.85
2,JP_Capital_Spending_YoY,3,455,0.66,32,9.38
2,US_MBA_Mortgage_Applications,60,455,13.19,650,9.23
2,US_ADP_Employment_Change,13,455,2.86,149,8.72
2,US_Conf_Board_Consumer_Confidence,13,455,2.86,149,8.72
3,JP_CB,19,218,8.72,61,31.15
3,JP_BOJ_Policy_Balance_Rate,19,218,8.72,61,31.15
3,US_Unemployment_Rate,43,218,19.72,150,28.67
3,US_Change_in_Nonfarm_Payrolls,43,218,19.72,150,28.67
