Outlier Threshold,Factor,Factor Outlier Count,Total Outlier,Factor Outlier Count (% of Outliers),Total count of Factor,Factor Outlier Count (% of Total count of Factor)
1,US_Unemployment_Rate,53,647,8.19,150,35.33
1,US_Change_in_Nonfarm_Payrolls,53,647,8.19,150,35.33
1,US_Leading_Index,41,647,6.34,144,28.47
1,KR_Exports_YoY,28,647,4.33,107,26.17
1,KR_SP_Global_South_Korea_PMI_Mfg,23,647,3.55,88,26.14
1,US_ISM_Manufacturing,25,647,3.86,96,26.04
1,US_U_of_Mich_Sentiment,75,647,11.59,298,25.17
1,US_Factory_Orders,31,647,4.79,126,24.6
1,US_holiday,13,647,2.01,55,23.64
1,US_Personal_Spending,28,647,4.33,119,23.53
1,US_Personal_Income,28,647,4.33,119,23.53
1,KR_CPI_YoY,31,647,4.79,132,23.48
1,US_GDP_Annualized_QoQ,34,647,5.26,147,23.13
1,US_MNI_Chicago_PMI,30,647,4.64,130,23.08
1,KR_BoK_7Day_Repo_Rate,28,647,4.33,124,22.58
1,KR_CB,28,647,4.33,124,22.58
1,KR_Industrial_Production_YoY,27,647,4.17,133,20.3
1,US_Durable_Goods_Orders,42,647,6.49,210,20
1,US_SP_Global_US_Manufacturing_PMI,40,647,6.18,201,19.9
1,US_Initial_Jobless_Claims,128,647,19.78,650,19.69
1,US_Trade_Balance,27,647,4.17,150,18
1,KR_holiday,22,647,3.4,126,17.46
1,US_Existing_Home_Sales,21,647,3.25,126,16.67
1,US_Conf_Board_Consumer_Confidence,24,647,3.71,149,16.11
1,US_ADP_Employment_Change,21,647,3.25,149,14.09
1,US_CPI_YoY,21,647,3.25,150,14
1,KR_GDP_YoY,14,647,2.16,100,14
1,KR_GDP_SA_QoQ,14,647,2.16,100,14
1,US_Housing_Starts,20,647,3.09,148,13.51
1,US_Empire_Manufacturing,13,647,2.01,97,13.4
1,US_FOMC_Rate_Decision_Upper_Bound,13,647,2.01,100,13
1,US_CB,13,647,2.01,100,13
1,US_MBA_Mortgage_Applications,66,647,10.2,650,10.15
1,KR_Unemployment_rate_SA,14,647,2.16,150,9.33
1,US_New_Home_Sales,12,647,1.85,132,9.09
2,US_Change_in_Nonfarm_Payrolls,15,128,11.72,150,10
2,US_Unemployment_Rate,15,128,11.72,150,10
2,US_Leading_Index,14,128,10.94,144,9.72
2,US_holiday,5,128,3.91,55,9.09
2,US_Personal_Income,9,128,7.03,119,7.56
2,US_Personal_Spending,9,128,7.03,119,7.56
2,KR_holiday,8,128,6.25,126,6.35
2,US_U_of_Mich_Sentiment,18,128,14.06,298,6.04
2,KR_CPI_YoY,7,128,5.47,132,5.3
2,US_SP_Global_US_Manufacturing_PMI,10,128,7.81,201,4.98
2,US_Existing_Home_Sales,6,128,4.69,126,4.76
2,KR_Exports_YoY,5,128,3.91,107,4.67
2,US_MNI_Chicago_PMI,6,128,4.69,130,4.62
2,US_ISM_Manufacturing,4,128,3.12,96,4.17
2,US_GDP_Annualized_QoQ,6,128,4.69,147,4.08
2,US_FOMC_Rate_Decision_Upper_Bound,4,128,3.12,100,4
2,US_CB,4,128,3.12,100,4
2,US_Trade_Balance,6,128,4.69,150,4
2,US_Initial_Jobless_Claims,24,128,18.75,650,3.69
2,KR_SP_Global_South_Korea_PMI_Mfg,3,128,2.34,88,3.41
2,US_Housing_Starts,5,128,3.91,148,3.38
2,US_CPI_YoY,5,128,3.91,150,3.33
2,KR_BoK_7Day_Repo_Rate,4,128,3.12,124,3.23
2,KR_CB,4,128,3.12,124,3.23
2,US_Factory_Orders,4,128,3.12,126,3.17
2,KR_Industrial_Production_YoY,4,128,3.12,133,3.01
2,US_ADP_Employment_Change,4,128,3.12,149,2.68
2,US_Conf_Board_Consumer_Confidence,4,128,3.12,149,2.68
2,KR_Unemployment_rate_SA,4,128,3.12,150,2.67
2,US_MBA_Mortgage_Applications,16,128,12.5,650,2.46
2,US_Durable_Goods_Orders,5,128,3.91,210,2.38
2,US_Empire_Manufacturing,2,128,1.56,97,2.06
2,US_New_Home_Sales,2,128,1.56,132,1.52
2,KR_GDP_YoY,1,128,0.78,100,1
2,KR_GDP_SA_QoQ,1,128,0.78,100,1
3,US_Leading_Index,6,46,13.04,144,4.17
3,US_Unemployment_Rate,5,46,10.87,150,3.33
3,US_Change_in_Nonfarm_Payrolls,5,46,10.87,150,3.33
3,KR_CPI_YoY,4,46,8.7,132,3.03
3,US_Personal_Spending,3,46,6.52,119,2.52
3,US_Personal_Income,3,46,6.52,119,2.52
3,US_Durable_Goods_Orders,5,46,10.87,210,2.38
3,US_Factory_Orders,3,46,6.52,126,2.38
3,US_Existing_Home_Sales,3,46,6.52,126,2.38
3,US_ISM_Manufacturing,2,46,4.35,96,2.08
3,US_GDP_Annualized_QoQ,3,46,6.52,147,2.04
3,US_U_of_Mich_Sentiment,6,46,13.04,298,2.01
3,US_Trade_Balance,3,46,6.52,150,2
3,KR_Exports_YoY,2,46,4.35,107,1.87
3,KR_BoK_7Day_Repo_Rate,2,46,4.35,124,1.61
3,KR_CB,2,46,4.35,124,1.61
3,US_Initial_Jobless_Claims,10,46,21.74,650,1.54
3,US_New_Home_Sales,2,46,4.35,132,1.52
3,US_SP_Global_US_Manufacturing_PMI,3,46,6.52,201,1.49
3,US_CPI_YoY,2,46,4.35,150,1.33
3,KR_SP_Global_South_Korea_PMI_Mfg,1,46,2.17,88,1.14
3,US_Empire_Manufacturing,1,46,2.17,97,1.03
3,US_MBA_Mortgage_Applications,5,46,10.87,650,0.77
3,US_MNI_Chicago_PMI,1,46,2.17,130,0.77
3,KR_Unemployment_rate_SA,1,46,2.17,150,0.67
3,US_ADP_Employment_Change,1,46,2.17,149,0.67
3,US_FOMC_Rate_Decision_Upper_Bound,0,46,0,100,0
3,US_CB,0,46,0,100,0
3,KR_holiday,0,46,0,126,0
3,US_Conf_Board_Consumer_Confidence,0,46,0,149,0
3,KR_GDP_YoY,0,46,0,100,0
3,US_holiday,0,46,0,55,0
3,KR_Industrial_Production_YoY,0,46,0,133,0
