Outlier Threshold,Factor,Factor Outlier Count,Total Outlier,Factor Outlier Count (% of Outliers),Total count of Factor,Factor Outlier Count (% of Total count of Factor)
1,NO_Deposit_Rates,56,1095,5.11,79,70.89
1,US_Change_in_Nonfarm_Payrolls,82,1095,7.49,134,61.19
1,US_Unemployment_Rate,82,1095,7.49,134,61.19
1,US_holiday,28,1095,2.56,51,54.9
1,US_Leading_Index,67,1095,6.12,128,52.34
1,US_Factory_Orders,58,1095,5.3,113,51.33
1,US_Initial_Jobless_Claims,289,1095,26.39,581,49.74
1,US_Trade_Balance,64,1095,5.84,134,47.76
1,NO_CPI_YoY,46,1095,4.2,97,47.42
1,US_SP_Global_US_Manufacturing_PMI,81,1095,7.4,189,42.86
1,US_Empire_Manufacturing,35,1095,3.2,85,41.18
1,US_ISM_Manufacturing,35,1095,3.2,85,41.18
1,NO_DNBNIMA_PMI_Manufacturing,34,1095,3.11,83,40.96
1,US_Durable_Goods_Orders,75,1095,6.85,196,38.27
1,US_Personal_Spending,42,1095,3.84,110,38.18
1,NO_holiday,28,1095,2.56,74,37.84
1,US_Personal_Income,41,1095,3.74,110,37.27
1,NO_Unemployment_Rate,49,1095,4.47,132,37.12
1,US_CPI_YoY,49,1095,4.47,134,36.57
1,US_New_Home_Sales,43,1095,3.93,119,36.13
1,US_ADP_Employment_Change,47,1095,4.29,134,35.07
1,US_Existing_Home_Sales,36,1095,3.29,112,32.14
1,US_GDP_Annualized_QoQ,41,1095,3.74,131,31.3
1,US_U_of_Mich_Sentiment,80,1095,7.31,266,30.08
1,US_MNI_Chicago_PMI,35,1095,3.2,118,29.66
1,US_Conf_Board_Consumer_Confidence,39,1095,3.56,133,29.32
1,US_FOMC_Rate_Decision_Upper_Bound,26,1095,2.37,89,29.21
1,US_CB,26,1095,2.37,89,29.21
1,US_MBA_Mortgage_Applications,166,1095,15.16,582,28.52
1,US_Housing_Starts,34,1095,3.11,132,25.76
1,NO_CB,0,1095,0,0,
2,NO_Deposit_Rates,42,379,11.08,79,53.16
2,US_Change_in_Nonfarm_Payrolls,43,379,11.35,134,32.09
2,US_Unemployment_Rate,43,379,11.35,134,32.09
