Outlier Threshold,Factor,Factor Outlier Count,Total Outlier,Factor Outlier Count (% of Outliers),Total count of Factor,Factor Outlier Count (% of Total count of Factor)
1,US_Unemployment_Rate,20,280,7.14,150,13.33
1,US_Change_in_Nonfarm_Payrolls,20,280,7.14,150,13.33
1,US_Leading_Index,18,280,6.43,144,12.5
1,US_holiday,6,280,2.14,55,10.91
1,PH_BSP_Overnight_Borrowing_Rate,10,280,3.57,102,9.8
1,PH_CB,10,280,3.57,102,9.8
1,US_Trade_Balance,14,280,5,150,9.33
1,US_Existing_Home_Sales,11,280,3.93,125,8.8
1,US_MNI_Chicago_PMI,11,280,3.93,130,8.46
1,US_Conf_Board_Consumer_Confidence,12,280,4.29,149,8.05
1,US_Factory_Orders,10,280,3.57,126,7.94
1,PH_Overseas_Cash_Remittances_YoY,6,280,2.14,83,7.23
1,US_Durable_Goods_Orders,15,280,5.36,210,7.14
1,US_Initial_Jobless_Claims,46,280,16.43,648,7.1
1,US_FOMC_Rate_Decision_Upper_Bound,7,280,2.5,100,7
1,US_CB,7,280,2.5,100,7
1,US_GDP_Annualized_QoQ,10,280,3.57,146,6.85
1,US_CPI_YoY,10,280,3.57,149,6.71
1,PH_holiday,10,280,3.57,150,6.67
1,PH_GDP_YoY,3,280,1.07,46,6.52
1,US_U_of_Mich_Sentiment,18,280,6.43,297,6.06
1,US_Personal_Income,7,280,2.5,119,5.88
1,US_Personal_Spending,7,280,2.5,119,5.88
1,PH_CPI_YoY_2018100,5,280,1.79,91,5.49
1,US_Housing_Starts,8,280,2.86,148,5.41
1,US_Empire_Manufacturing,5,280,1.79,96,5.21
1,US_MBA_Mortgage_Applications,31,280,11.07,649,4.78
1,US_ADP_Employment_Change,6,280,2.14,149,4.03
1,US_New_Home_Sales,4,280,1.43,132,3.03
1,US_SP_Global_US_Manufacturing_PMI,4,280,1.43,201,1.99
1,US_ISM_Manufacturing,1,280,0.36,96,1.04
2,PH_Overseas_Cash_Remittances_YoY,2,27,7.41,83,2.41
2,US_Empire_Manufacturing,2,27,7.41,96,2.08
2,US_GDP_Annualized_QoQ,3,27,11.11,146,2.05
2,US_New_Home_Sales,2,27,7.41,132,1.52
2,US_Conf_Board_Consumer_Confidence,2,27,7.41,149,1.34
2,US_ADP_Employment_Change,2,27,7.41,149,1.34
2,US_Unemployment_Rate,2,27,7.41,150,1.33
2,US_Change_in_Nonfarm_Payrolls,2,27,7.41,150,1.33
2,US_Trade_Balance,2,27,7.41,150,1.33
2,PH_CPI_YoY_2018100,1,27,3.7,91,1.1
2,US_CB,1,27,3.7,100,1
2,US_FOMC_Rate_Decision_Upper_Bound,1,27,3.7,100,1
2,PH_BSP_Overnight_Borrowing_Rate,1,27,3.7,102,0.98
2,PH_CB,1,27,3.7,102,0.98
2,US_Durable_Goods_Orders,2,27,7.41,210,0.95
2,US_MBA_Mortgage_Applications,6,27,22.22,649,0.92
2,US_Personal_Income,1,27,3.7,119,0.84
2,US_Personal_Spending,1,27,3.7,119,0.84
2,US_Existing_Home_Sales,1,27,3.7,125,0.8
2,US_MNI_Chicago_PMI,1,27,3.7,130,0.77
2,US_CPI_YoY,1,27,3.7,149,0.67
2,US_U_of_Mich_Sentiment,2,27,7.41,297,0.67
2,US_Initial_Jobless_Claims,4,27,14.81,648,0.62
2,US_Housing_Starts,0,27,0,148,0
2,PH_holiday,0,27,0,150,0
2,US_Leading_Index,0,27,0,144,0
2,US_Factory_Orders,0,27,0,126,0
2,US_ISM_Manufacturing,0,27,0,96,0
2,US_SP_Global_US_Manufacturing_PMI,0,27,0,201,0
2,PH_GDP_YoY,0,27,0,46,0
2,US_holiday,0,27,0,55,0
3,US_Empire_Manufacturing,1,3,33.33,96,1.04
3,PH_CB,1,3,33.33,102,0.98
3,PH_BSP_Overnight_Borrowing_Rate,1,3,33.33,102,0.98
3,US_Personal_Income,1,3,33.33,119,0.84
3,US_Personal_Spending,1,3,33.33,119,0.84
3,US_MNI_Chicago_PMI,1,3,33.33,130,0.77
3,US_GDP_Annualized_QoQ,1,3,33.33,146,0.68
3,US_Durable_Goods_Orders,1,3,33.33,210,0.48
3,US_U_of_Mich_Sentiment,1,3,33.33,297,0.34
3,US_MBA_Mortgage_Applications,1,3,33.33,649,0.15
3,US_Initial_Jobless_Claims,1,3,33.33,648,0.15
3,US_ADP_Employment_Change,0,3,0,149,0
3,US_Trade_Balance,0,3,0,150,0
3,US_Change_in_Nonfarm_Payrolls,0,3,0,150,0
3,US_Unemployment_Rate,0,3,0,150,0
3,US_CPI_YoY,0,3,0,149,0
3,PH_holiday,0,3,0,150,0
3,US_Housing_Starts,0,3,0,148,0
3,US_Existing_Home_Sales,0,3,0,125,0
3,US_Conf_Board_Consumer_Confidence,0,3,0,149,0
3,PH_CPI_YoY_2018100,0,3,0,91,0
3,US_FOMC_Rate_Decision_Upper_Bound,0,3,0,100,0
3,US_Leading_Index,0,3,0,144,0
3,US_New_Home_Sales,0,3,0,132,0
3,US_SP_Global_US_Manufacturing_PMI,0,3,0,201,0
3,US_CB,0,3,0,100,0
3,PH_Overseas_Cash_Remittances_YoY,0,3,0,83,0
3,PH_GDP_YoY,0,3,0,46,0
3,US_ISM_Manufacturing,0,3,0,96,0
3,US_Factory_Orders,0,3,0,126,0
3,US_holiday,0,3,0,55,0
