Outlier Threshold,Factor,Factor Outlier Count,Total Outlier,Factor Outlier Count (% of Outliers),Total count of Factor,Factor Outlier Count (% of Total count of Factor)
1,SE_Riksbank_Policy_Rate,47,1063,4.42,64,73.44
1,US_holiday,35,1063,3.29,51,68.63
1,SE_holiday,51,1063,4.8,86,59.3
1,US_Unemployment_Rate,79,1063,7.43,134,58.96
1,US_Change_in_Nonfarm_Payrolls,79,1063,7.43,134,58.96
1,US_Initial_Jobless_Claims,270,1063,25.4,581,46.47
1,US_Trade_Balance,60,1063,5.64,134,44.78
1,US_Factory_Orders,50,1063,4.7,113,44.25
1,SE_CPI_Level,55,1063,5.17,128,42.97
1,SE_CPI_YoY,55,1063,5.17,128,42.97
1,US_SP_Global_US_Manufacturing_PMI,73,1063,6.87,189,38.62
1,US_Durable_Goods_Orders,74,1063,6.96,196,37.76
1,US_ISM_Manufacturing,32,1063,3.01,85,37.65
1,US_Leading_Index,48,1063,4.52,128,37.5
1,SE_SwedbankSilf_PMI_Manufacturing,29,1063,2.73,78,37.18
1,US_ADP_Employment_Change,49,1063,4.61,134,36.57
1,US_CPI_YoY,48,1063,4.52,134,35.82
1,US_Personal_Spending,38,1063,3.57,110,34.55
1,US_Personal_Income,37,1063,3.48,110,33.64
1,US_Empire_Manufacturing,28,1063,2.63,85,32.94
1,SE_Economic_Tendency_Survey,43,1063,4.05,131,32.82
1,US_New_Home_Sales,39,1063,3.67,119,32.77
1,US_GDP_Annualized_QoQ,41,1063,3.86,131,31.3
1,US_Existing_Home_Sales,34,1063,3.2,112,30.36
1,US_MNI_Chicago_PMI,35,1063,3.29,118,29.66
1,US_U_of_Mich_Sentiment,78,1063,7.34,266,29.32
1,US_FOMC_Rate_Decision_Upper_Bound,26,1063,2.45,89,29.21
1,US_CB,26,1063,2.45,89,29.21
1,SE_GDP_QoQ,11,1063,1.03,38,28.95
1,US_MBA_Mortgage_Applications,159,1063,14.96,582,27.32
1,US_Conf_Board_Consumer_Confidence,36,1063,3.39,133,27.07
1,US_Housing_Starts,33,1063,3.1,132,25
1,SE_CB,0,1063,0,0,
2,SE_Riksbank_Policy_Rate,31,363,8.54,64,48.44
2,US_Unemployment_Rate,44,363,12.12,134,32.84
2,US_Change_in_Nonfarm_Payrolls,44,363,12.12,134,32.84
2,US_holiday,16,363,4.41,51,31.37
2,US_Trade_Balance,26,363,7.16,134,19.4
2,US_CPI_YoY,26,363,7.16,134,19.4
2,SE_holiday,15,363,4.13,86,17.44
2,US_Factory_Orders,18,363,4.96,113,15.93
2,US_Durable_Goods_Orders,28,363,7.71,196,14.29
2,US_Initial_Jobless_Claims,82,363,22.59,581,14.11
2,SE_SwedbankSilf_PMI_Manufacturing,11,363,3.03,78,14.1
2,US_ISM_Manufacturing,11,363,3.03,85,12.94
2,US_Empire_Manufacturing,10,363,2.75,85,11.76
2,US_New_Home_Sales,14,363,3.86,119,11.76
2,SE_CPI_YoY,15,363,4.13,128,11.72
2,SE_CPI_Level,15,363,4.13,128,11.72
2,US_Leading_Index,15,363,4.13,128,11.72
2,US_SP_Global_US_Manufacturing_PMI,22,363,6.06,189,11.64
2,SE_Economic_Tendency_Survey,15,363,4.13,131,11.45
2,US_ADP_Employment_Change,14,363,3.86,134,10.45
2,US_MBA_Mortgage_Applications,58,363,15.98,582,9.97
2,US_U_of_Mich_Sentiment,25,363,6.89,266,9.4
2,US_Personal_Income,10,363,2.75,110,9.09
2,US_Personal_Spending,10,363,2.75,110,9.09
2,US_Conf_Board_Consumer_Confidence,12,363,3.31,133,9.02
2,US_Existing_Home_Sales,10,363,2.75,112,8.93
2,US_FOMC_Rate_Decision_Upper_Bound,7,363,1.93,89,7.87
2,US_CB,7,363,1.93,89,7.87
2,US_MNI_Chicago_PMI,8,363,2.2,118,6.78
2,US_GDP_Annualized_QoQ,7,363,1.93,131,5.34
2,US_Housing_Starts,6,363,1.65,132,4.55
2,SE_GDP_QoQ,1,363,0.28,38,2.63
2,SE_CB,0,363,0,0,
3,SE_Riksbank_Policy_Rate,18,173,10.4,64,28.12
3,US_Unemployment_Rate,27,173,15.61,134,20.15
3,US_Change_in_Nonfarm_Payrolls,27,173,15.61,134,20.15
3,US_CPI_YoY,20,173,11.56,134,14.93
3,US_holiday,5,173,2.89,51,9.8
3,US_Trade_Balance,12,173,6.94,134,8.96
3,US_Initial_Jobless_Claims,47,173,27.17,581,8.09
3,US_Leading_Index,10,173,5.78,128,7.81
3,US_Factory_Orders,8,173,4.62,113,7.08
3,SE_holiday,6,173,3.47,86,6.98
3,US_New_Home_Sales,7,173,4.05,119,5.88
3,US_Durable_Goods_Orders,11,173,6.36,196,5.61
3,SE_CPI_Level,7,173,4.05,128,5.47
3,SE_CPI_YoY,7,173,4.05,128,5.47
3,SE_Economic_Tendency_Survey,7,173,4.05,131,5.34
3,SE_SwedbankSilf_PMI_Manufacturing,4,173,2.31,78,5.13
3,US_MBA_Mortgage_Applications,28,173,16.18,582,4.81
3,US_Empire_Manufacturing,4,173,2.31,85,4.71
3,US_Personal_Income,5,173,2.89,110,4.55
3,US_Personal_Spending,5,173,2.89,110,4.55
3,US_ADP_Employment_Change,6,173,3.47,134,4.48
3,US_Existing_Home_Sales,5,173,2.89,112,4.46
3,US_SP_Global_US_Manufacturing_PMI,8,173,4.62,189,4.23
3,US_ISM_Manufacturing,3,173,1.73,85,3.53
3,US_U_of_Mich_Sentiment,9,173,5.2,266,3.38
3,US_Conf_Board_Consumer_Confidence,4,173,2.31,133,3.01
3,US_MNI_Chicago_PMI,3,173,1.73,118,2.54
3,US_GDP_Annualized_QoQ,3,173,1.73,131,2.29
3,US_Housing_Starts,3,173,1.73,132,2.27
3,US_FOMC_Rate_Decision_Upper_Bound,1,173,0.58,89,1.12
3,US_CB,1,173,0.58,89,1.12
3,SE_GDP_QoQ,0,173,0,38,0
3,SE_CB,0,173,0,0,
4,SE_Riksbank_Policy_Rate,12,78,15.38,64,18.75
4,US_Unemployment_Rate,14,78,17.95,134,10.45
4,US_Change_in_Nonfarm_Payrolls,14,78,17.95,134,10.45
4,US_CPI_YoY,12,78,15.38,134,8.96
4,US_holiday,3,78,3.85,51,5.88
4,US_Trade_Balance,6,78,7.69,134,4.48
4,US_Factory_Orders,5,78,6.41,113,4.42
4,US_Initial_Jobless_Claims,23,78,29.49,581,3.96
4,US_Leading_Index,4,78,5.13,128,3.12
4,US_Durable_Goods_Orders,6,78,7.69,196,3.06
4,SE_SwedbankSilf_PMI_Manufacturing,2,78,2.56,78,2.56
4,US_New_Home_Sales,3,78,3.85,119,2.52
4,SE_holiday,2,78,2.56,86,2.33
4,SE_Economic_Tendency_Survey,3,78,3.85,131,2.29
4,US_SP_Global_US_Manufacturing_PMI,4,78,5.13,189,2.12
4,US_U_of_Mich_Sentiment,5,78,6.41,266,1.88
4,US_MBA_Mortgage_Applications,9,78,11.54,582,1.55
4,US_Housing_Starts,2,78,2.56,132,1.52
4,US_Conf_Board_Consumer_Confidence,2,78,2.56,133,1.5
4,US_ISM_Manufacturing,1,78,1.28,85,1.18
4,US_Personal_Spending,1,78,1.28,110,0.91
4,US_Personal_Income,1,78,1.28,110,0.91
4,US_Existing_Home_Sales,1,78,1.28,112,0.89
4,SE_CPI_YoY,1,78,1.28,128,0.78
4,SE_CPI_Level,1,78,1.28,128,0.78
4,US_ADP_Employment_Change,1,78,1.28,134,0.75
4,US_CB,0,78,0,89,0
4,US_Empire_Manufacturing,0,78,0,85,0
4,US_MNI_Chicago_PMI,0,78,0,118,0
4,US_GDP_Annualized_QoQ,0,78,0,131,0
4,US_FOMC_Rate_Decision_Upper_Bound,0,78,0,89,0
4,SE_GDP_QoQ,0,78,0,38,0
4,SE_CB,0,78,0,0,
