Outlier Threshold,Factor,Factor Outlier Count,Total Outlier,Factor Outlier Count (% of Outliers),Total count of Factor,Factor Outlier Count (% of Total count of Factor)
1,US_holiday,13,454,2.86,52,25
1,US_Change_in_Nonfarm_Payrolls,31,454,6.83,140,22.14
1,US_Unemployment_Rate,31,454,6.83,140,22.14
1,TH_CPI_YoY,13,454,2.86,93,13.98
1,TH_Foreign_Reserves,69,454,15.2,608,11.35
1,TH_holiday,14,454,3.08,130,10.77
1,US_Leading_Index,13,454,2.86,134,9.7
1,US_Factory_Orders,11,454,2.42,118,9.32
1,US_Trade_Balance,13,454,2.86,140,9.29
1,US_Empire_Manufacturing,8,454,1.76,92,8.7
1,US_SP_Global_US_Manufacturing_PMI,15,454,3.3,186,8.06
1,US_GDP_Annualized_QoQ,11,454,2.42,137,8.03
1,US_Housing_Starts,11,454,2.42,139,7.91
1,US_Durable_Goods_Orders,15,454,3.3,194,7.73
1,US_Initial_Jobless_Claims,46,454,10.13,608,7.57
1,TH_BoP_Current_Account_Balance,9,454,1.98,119,7.56
1,US_Personal_Income,8,454,1.76,111,7.21
1,US_Personal_Spending,8,454,1.76,111,7.21
1,US_CPI_YoY,10,454,2.2,142,7.04
1,US_U_of_Mich_Sentiment,19,454,4.19,280,6.79
1,US_MNI_Chicago_PMI,8,454,1.76,121,6.61
1,US_ISM_Manufacturing,5,454,1.1,89,5.62
1,US_ADP_Employment_Change,7,454,1.54,139,5.04
1,US_New_Home_Sales,6,454,1.32,124,4.84
1,US_MBA_Mortgage_Applications,27,454,5.95,608,4.44
1,TH_CB,4,454,0.88,91,4.4
1,TH_BoT_Benchmark_Interest_Rate,4,454,0.88,91,4.4
1,US_Conf_Board_Consumer_Confidence,6,454,1.32,141,4.26
1,US_Existing_Home_Sales,4,454,0.88,116,3.45
1,US_FOMC_Rate_Decision_Upper_Bound,3,454,0.66,96,3.12
1,US_CB,3,454,0.66,96,3.12
1,TH_GDP_YoY,0,454,0,3,0
2,US_holiday,4,68,5.88,52,7.69
2,US_Change_in_Nonfarm_Payrolls,6,68,8.82,140,4.29
2,US_Unemployment_Rate,6,68,8.82,140,4.29
2,US_Leading_Index,5,68,7.35,134,3.73
2,US_Existing_Home_Sales,4,68,5.88,116,3.45
2,US_Empire_Manufacturing,3,68,4.41,92,3.26
2,TH_Foreign_Reserves,18,68,26.47,608,2.96
2,US_Factory_Orders,3,68,4.41,118,2.54
2,US_Housing_Starts,3,68,4.41,139,2.16
2,US_ADP_Employment_Change,3,68,4.41,139,2.16
2,US_SP_Global_US_Manufacturing_PMI,4,68,5.88,186,2.15
2,TH_holiday,2,68,2.94,130,1.54
2,US_Initial_Jobless_Claims,7,68,10.29,608,1.15
2,US_MBA_Mortgage_Applications,7,68,10.29,608,1.15
2,TH_BoT_Benchmark_Interest_Rate,1,68,1.47,91,1.1
2,TH_CB,1,68,1.47,91,1.1
2,TH_CPI_YoY,1,68,1.47,93,1.08
2,US_U_of_Mich_Sentiment,3,68,4.41,280,1.07
2,US_FOMC_Rate_Decision_Upper_Bound,1,68,1.47,96,1.04
2,US_CB,1,68,1.47,96,1.04
2,US_Durable_Goods_Orders,2,68,2.94,194,1.03
2,US_Personal_Spending,1,68,1.47,111,0.9
2,US_Personal_Income,1,68,1.47,111,0.9
2,TH_BoP_Current_Account_Balance,1,68,1.47,119,0.84
2,US_MNI_Chicago_PMI,1,68,1.47,121,0.83
2,US_New_Home_Sales,1,68,1.47,124,0.81
2,US_Trade_Balance,1,68,1.47,140,0.71
2,US_CPI_YoY,1,68,1.47,142,0.7
2,US_GDP_Annualized_QoQ,0,68,0,137,0
2,US_Conf_Board_Consumer_Confidence,0,68,0,141,0
2,US_ISM_Manufacturing,0,68,0,89,0
2,TH_GDP_YoY,0,68,0,3,0
3,US_holiday,1,11,9.09,52,1.92
3,US_Existing_Home_Sales,2,11,18.18,116,1.72
3,US_Leading_Index,2,11,18.18,134,1.49
3,US_FOMC_Rate_Decision_Upper_Bound,1,11,9.09,96,1.04
3,US_CB,1,11,9.09,96,1.04
3,US_ADP_Employment_Change,1,11,9.09,139,0.72
3,US_Trade_Balance,1,11,9.09,140,0.71
3,US_MBA_Mortgage_Applications,3,11,27.27,608,0.49
3,US_Initial_Jobless_Claims,2,11,18.18,608,0.33
3,TH_Foreign_Reserves,1,11,9.09,608,0.16
3,US_Durable_Goods_Orders,0,11,0,194,0
3,US_CPI_YoY,0,11,0,142,0
3,US_Unemployment_Rate,0,11,0,140,0
3,US_Change_in_Nonfarm_Payrolls,0,11,0,140,0
3,TH_CB,0,11,0,91,0
3,US_Factory_Orders,0,11,0,118,0
3,US_ISM_Manufacturing,0,11,0,89,0
3,US_SP_Global_US_Manufacturing_PMI,0,11,0,186,0
3,TH_holiday,0,11,0,130,0
3,US_Empire_Manufacturing,0,11,0,92,0
3,TH_BoT_Benchmark_Interest_Rate,0,11,0,91,0
3,US_Housing_Starts,0,11,0,139,0
3,US_U_of_Mich_Sentiment,0,11,0,280,0
3,US_MNI_Chicago_PMI,0,11,0,121,0
3,US_GDP_Annualized_QoQ,0,11,0,137,0
3,US_New_Home_Sales,0,11,0,124,0
3,US_Personal_Spending,0,11,0,111,0
3,US_Personal_Income,0,11,0,111,0
3,TH_BoP_Current_Account_Balance,0,11,0,119,0
3,TH_CPI_YoY,0,11,0,93,0
3,US_Conf_Board_Consumer_Confidence,0,11,0,141,0
3,TH_GDP_YoY,0,11,0,3,0
4,US_CB,1,3,33.33,96,1.04
4,US_FOMC_Rate_Decision_Upper_Bound,1,3,33.33,96,1.04
4,US_Existing_Home_Sales,1,3,33.33,116,0.86
4,US_ADP_Employment_Change,1,3,33.33,139,0.72
4,US_Trade_Balance,1,3,33.33,140,0.71
4,US_MBA_Mortgage_Applications,3,3,100,608,0.49
4,US_Initial_Jobless_Claims,0,3,0,608,0
4,US_Empire_Manufacturing,0,3,0,92,0
4,US_CPI_YoY,0,3,0,142,0
4,US_Unemployment_Rate,0,3,0,140,0
4,US_Change_in_Nonfarm_Payrolls,0,3,0,140,0
4,US_Factory_Orders,0,3,0,118,0
4,US_Durable_Goods_Orders,0,3,0,194,0
4,US_Housing_Starts,0,3,0,139,0
4,US_ISM_Manufacturing,0,3,0,89,0
4,US_SP_Global_US_Manufacturing_PMI,0,3,0,186,0
4,TH_CB,0,3,0,91,0
4,TH_holiday,0,3,0,130,0
4,TH_BoT_Benchmark_Interest_Rate,0,3,0,91,0
4,US_U_of_Mich_Sentiment,0,3,0,280,0
4,US_Conf_Board_Consumer_Confidence,0,3,0,141,0
4,TH_BoP_Current_Account_Balance,0,3,0,119,0
4,TH_CPI_YoY,0,3,0,93,0
4,TH_Foreign_Reserves,0,3,0,608,0
4,US_Personal_Income,0,3,0,111,0
4,US_MNI_Chicago_PMI,0,3,0,121,0
4,US_Personal_Spending,0,3,0,111,0
4,US_New_Home_Sales,0,3,0,124,0
4,US_Leading_Index,0,3,0,134,0
4,US_GDP_Annualized_QoQ,0,3,0,137,0
4,US_holiday,0,3,0,52,0
4,TH_GDP_YoY,0,3,0,3,0
