Outlier Threshold,Factor,Factor Outlier Count,Total Outlier,Factor Outlier Count (% of Outliers),Total count of Factor,Factor Outlier Count (% of Total count of Factor)
1,TW_CB,5,230,2.17,52,9.62
1,TW_CBC_Benchmark_Interest_Rate,5,230,2.17,52,9.62
1,US_Personal_Spending,11,230,4.78,119,9.24
1,US_holiday,5,230,2.17,55,9.09
1,TW_holiday,8,230,3.48,91,8.79
1,US_Personal_Income,10,230,4.35,119,8.4
1,US_Empire_Manufacturing,8,230,3.48,97,8.25
1,TW_SP_Global_Taiwan_PMI_Mfg,7,230,3.04,90,7.78
1,US_Leading_Index,11,230,4.78,144,7.64
1,US_Change_in_Nonfarm_Payrolls,11,230,4.78,149,7.38
1,US_Unemployment_Rate,11,230,4.78,149,7.38
1,US_FOMC_Rate_Decision_Upper_Bound,7,230,3.04,99,7.07
1,US_CB,7,230,3.04,99,7.07
1,US_Conf_Board_Consumer_Confidence,10,230,4.35,149,6.71
1,US_Factory_Orders,8,230,3.48,125,6.4
1,US_Existing_Home_Sales,8,230,3.48,126,6.35
1,US_U_of_Mich_Sentiment,18,230,7.83,298,6.04
1,US_SP_Global_US_Manufacturing_PMI,11,230,4.78,200,5.5
1,US_GDP_Annualized_QoQ,8,230,3.48,147,5.44
1,US_MNI_Chicago_PMI,7,230,3.04,130,5.38
1,US_Durable_Goods_Orders,11,230,4.78,210,5.24
1,US_ISM_Manufacturing,5,230,2.17,96,5.21
1,TW_GDP_YoY,5,230,2.17,98,5.1
1,US_Initial_Jobless_Claims,32,230,13.91,649,4.93
1,US_CPI_YoY,7,230,3.04,149,4.7
1,US_Trade_Balance,7,230,3.04,150,4.67
1,US_New_Home_Sales,6,230,2.61,132,4.55
1,TW_CPI_YoY,5,230,2.17,111,4.5
1,US_Housing_Starts,6,230,2.61,148,4.05
1,US_MBA_Mortgage_Applications,24,230,10.43,649,3.7
1,US_ADP_Employment_Change,4,230,1.74,149,2.68
2,TW_CPI_YoY,3,30,10,111,2.7
2,US_FOMC_Rate_Decision_Upper_Bound,2,30,6.67,99,2.02
2,US_CB,2,30,6.67,99,2.02
2,US_holiday,1,30,3.33,55,1.82
2,US_Leading_Index,2,30,6.67,144,1.39
2,US_Trade_Balance,2,30,6.67,150,1.33
2,US_Durable_Goods_Orders,2,30,6.67,210,0.95
2,US_Factory_Orders,1,30,3.33,125,0.8
2,US_Existing_Home_Sales,1,30,3.33,126,0.79
2,US_New_Home_Sales,1,30,3.33,132,0.76
2,US_Housing_Starts,1,30,3.33,148,0.68
2,US_U_of_Mich_Sentiment,2,30,6.67,298,0.67
2,US_ADP_Employment_Change,1,30,3.33,149,0.67
2,US_Change_in_Nonfarm_Payrolls,1,30,3.33,149,0.67
2,US_Unemployment_Rate,1,30,3.33,149,0.67
2,US_Initial_Jobless_Claims,4,30,13.33,649,0.62
2,US_SP_Global_US_Manufacturing_PMI,1,30,3.33,200,0.5
2,US_MBA_Mortgage_Applications,2,30,6.67,649,0.31
2,TW_SP_Global_Taiwan_PMI_Mfg,0,30,0,90,0
2,US_MNI_Chicago_PMI,0,30,0,130,0
2,TW_GDP_YoY,0,30,0,98,0
2,US_Personal_Income,0,30,0,119,0
2,US_Personal_Spending,0,30,0,119,0
2,US_Empire_Manufacturing,0,30,0,97,0
2,US_GDP_Annualized_QoQ,0,30,0,147,0
2,US_Conf_Board_Consumer_Confidence,0,30,0,149,0
2,TW_holiday,0,30,0,91,0
2,US_CPI_YoY,0,30,0,149,0
2,US_ISM_Manufacturing,0,30,0,96,0
2,TW_CB,0,30,0,52,0
2,TW_CBC_Benchmark_Interest_Rate,0,30,0,52,0
3,US_Trade_Balance,1,4,25,150,0.67
3,US_ADP_Employment_Change,1,4,25,149,0.67
3,US_MBA_Mortgage_Applications,1,4,25,649,0.15
3,US_Empire_Manufacturing,0,4,0,97,0
3,US_CB,0,4,0,99,0
3,TW_CB,0,4,0,52,0
3,US_SP_Global_US_Manufacturing_PMI,0,4,0,200,0
3,US_ISM_Manufacturing,0,4,0,96,0
3,US_Factory_Orders,0,4,0,125,0
3,US_Durable_Goods_Orders,0,4,0,210,0
3,US_Initial_Jobless_Claims,0,4,0,649,0
3,US_Change_in_Nonfarm_Payrolls,0,4,0,149,0
3,US_Unemployment_Rate,0,4,0,149,0
3,US_CPI_YoY,0,4,0,149,0
3,TW_holiday,0,4,0,91,0
3,US_U_of_Mich_Sentiment,0,4,0,298,0
3,TW_GDP_YoY,0,4,0,98,0
3,US_Existing_Home_Sales,0,4,0,126,0
3,TW_CPI_YoY,0,4,0,111,0
3,TW_SP_Global_Taiwan_PMI_Mfg,0,4,0,90,0
3,US_MNI_Chicago_PMI,0,4,0,130,0
3,US_Housing_Starts,0,4,0,148,0
3,US_Personal_Spending,0,4,0,119,0
3,US_Personal_Income,0,4,0,119,0
3,US_Leading_Index,0,4,0,144,0
3,US_GDP_Annualized_QoQ,0,4,0,147,0
3,US_FOMC_Rate_Decision_Upper_Bound,0,4,0,99,0
3,US_Conf_Board_Consumer_Confidence,0,4,0,149,0
3,US_New_Home_Sales,0,4,0,132,0
3,US_holiday,0,4,0,55,0
3,TW_CBC_Benchmark_Interest_Rate,0,4,0,52,0
4,US_Trade_Balance,1,1,100,150,0.67
4,US_ADP_Employment_Change,1,1,100,149,0.67
4,US_MBA_Mortgage_Applications,1,1,100,649,0.15
4,US_Empire_Manufacturing,0,1,0,97,0
4,US_CB,0,1,0,99,0
4,TW_CB,0,1,0,52,0
4,US_SP_Global_US_Manufacturing_PMI,0,1,0,200,0
4,US_ISM_Manufacturing,0,1,0,96,0
4,US_Factory_Orders,0,1,0,125,0
4,US_Durable_Goods_Orders,0,1,0,210,0
4,US_Initial_Jobless_Claims,0,1,0,649,0
4,US_Change_in_Nonfarm_Payrolls,0,1,0,149,0
4,US_Unemployment_Rate,0,1,0,149,0
4,US_CPI_YoY,0,1,0,149,0
4,TW_holiday,0,1,0,91,0
4,US_U_of_Mich_Sentiment,0,1,0,298,0
4,TW_GDP_YoY,0,1,0,98,0
4,US_Existing_Home_Sales,0,1,0,126,0
4,TW_CPI_YoY,0,1,0,111,0
4,TW_SP_Global_Taiwan_PMI_Mfg,0,1,0,90,0
4,US_MNI_Chicago_PMI,0,1,0,130,0
4,US_Housing_Starts,0,1,0,148,0
4,US_Personal_Spending,0,1,0,119,0
4,US_Personal_Income,0,1,0,119,0
4,US_Leading_Index,0,1,0,144,0
4,US_GDP_Annualized_QoQ,0,1,0,147,0
4,US_FOMC_Rate_Decision_Upper_Bound,0,1,0,99,0
4,US_Conf_Board_Consumer_Confidence,0,1,0,149,0
4,US_New_Home_Sales,0,1,0,132,0
4,US_holiday,0,1,0,55,0
4,TW_CBC_Benchmark_Interest_Rate,0,1,0,52,0
